what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326386710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326386748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326386780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326386822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326386854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326386896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326386926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326386967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326386999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326387688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1461326402003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461326419124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461327126627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461327260066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461328802049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461329136879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330127642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330129565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330153461
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1461330167223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330173183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330176958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1461330176973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1461330176973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330184102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330186302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1461330186302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330189672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330577094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330613737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330642726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1461330642742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330653693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330658810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330662647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330676001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330680151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330680307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330683380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330686032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330687077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330687280
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1461330692288
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1461330692303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330724050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330730138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330740029
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1461330766237
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1461330766284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1461330766580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1461330766596
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1461330766783
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1461330767048
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1461330790979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1461330790979
